smiles,MinAbsEStateIndex,BalabanJ,Chi3n,Chi3v,SMR_VSA3,SMR_VSA5,SMR_VSA7,SlogP_VSA10,SlogP_VSA11,SlogP_VSA3,SlogP_VSA4,EState_VSA2,EState_VSA6,EState_VSA9,VSA_EState3,VSA_EState8,VSA_EState9,FractionCSP3,NumHDonors,fr_Al_OH_noTert,fr_benzene,fr_imide,fr_unbrch_alkane,value
*CC(*)C,0.75,2.5395388613593908,0.0,0.0,0.0,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,4.0625,0.0,1.0,0,0,0,0,0,2.61
*CC(*)F,0.0833333333333333,2.5395388613593908,0.0,0.0,0.0,13.598328171965532,0.0,4.39041504767482,0.0,0.0,0.0,6.674590972274908,0.0,0.0,0.0,0.7453703703703702,0.0,1.0,0,0,0,0,0,3.36
*CC(*)(F)F,0.0277777777777776,3.168489872670569,0.0,0.0,0.0,13.349181944549816,0.0,8.78083009534964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2986111111111111,0.0,1.0,0,0,0,0,0,3.37
*C(F)C(*)(F)F,0.7638888888888888,3.541196965079901,0.0824786098842322,0.0824786098842322,0.0,13.100035717134098,0.0,13.17124514302446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6736111111111118,0.0,1.0,0,0,0,0,0,3.06
*CCC(F)(F)C(*)(F)F,0.1550694444444444,4.101783752547981,0.5904700003179685,0.5904700003179685,0.0,25.692532735570403,0.0,17.56166019069928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3559027777777777,0.0,1.0,0,0,0,0,0,3.08
*CO*,0.3194444444444444,1.9747448713915892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,5.106527394840706,4.902777777777778,0.0,1.1805555555555556,1.0,0,0,0,0,0,3.72
*CCO*,0.2881944444444444,2.19060968716425,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,5.106527394840706,5.003472222222222,2.545138888888889,0.0,1.0,0,0,0,0,0,3.15
*CC(O*)C(F)(F)F,0.173912037037037,3.792907831779043,0.36508564589935,0.36508564589935,0.0,19.2040021048824,0.0,13.17124514302446,0.0,5.106527394840706,0.0,6.923737199690624,0.0,0.0,4.451388888888889,0.2847222222222223,0.0,1.0,0,0,0,0,0,2.7
*CCCO*,0.2681944444444444,2.3390923149762908,0.1443375672974064,0.1443375672974064,0.0,13.344558822616634,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,5.106527394840706,5.072222222222222,2.606805555555556,0.0,1.0,0,0,0,0,0,3.03
*Oc1ccc(Cc2ccc(*)cc2)cc1,0.0065856592101178,2.1088517120273824,2.1188692669956835,2.1188692669956835,0.0,6.4208216229260096,59.65783953108687,0.0,5.749511833283905,6.4208216229260096,0.0,0.0,6.06636706846161,5.106527394840706,5.393377048937114,0.0,0.0,0.0769230769230769,0,0,2,0,0,3.5
